华为（HUAWEI）,3999.00,8G,14.0英寸,2.36kg
戴尔（DELL）,6999.00,8G,15.6英寸,3.69kg
戴尔（DELL）,5599.00,8G,14.0英寸,2.255kg
联想（Lenovo）,5699.00,8G,15.6英寸,3.9kg
Apple,6928.00,其它,13.3英寸,2.96kg
联想（Lenovo）,5399.00,8G,14.0英寸,2.24kg
联想（Lenovo）,9299.00,8G,15.6英寸,4.12kg
戴尔（DELL）,5999.00,8G,15.6英寸,3.63kg
联想（Lenovo）,7499.00,8G,15.6英寸,4.0kg
联想（Lenovo）,6498.00,8G,15.6英寸,3.87kg
微软（Microsoft）,7688.00,其它,其它,2.08kg
惠普（HP）,6399.00,8G,15.6英寸,3.72kg
戴尔（DELL）,6399.00,8G,15.6英寸,3.72kg
ThinkPad,5699.00,8G,14.0英寸,2.68kg
惠普（HP）,6899.00,8G,15.6英寸,3.64kg
Apple,14188.00,8G,13.3英寸,2.58kg
联想（Lenovo）,7299.00,8G,15.6英寸,3.84kg
惠普（HP）,12999.00,16G,17.3英寸,5.72kg
惠普（HP）,7599.00,8G,15.6英寸,4.04kg
戴尔（DELL）,6499.00,8G,14.0英寸,2.28kg
华为（HUAWEI）,4999.00,8G,14.0英寸,1.47kg
戴尔（DELL）,7999.00,8G,15.6英寸,3.82kg
联想（Lenovo）,4299.00,4G,15.6英寸,2.685kg
戴尔（DELL）,5699.00,8G,15.6英寸,2.9kg
Apple,18688.00,16G,其它,3.24kg
Apple,14188.00,8G,13.3英寸,2.53kg
惠普（HP）,5299.00,8G,14.0英寸,2.32kg
机械革命（MECHREVO）,6998.00,8G,15.6英寸,3.64kg
联想（Lenovo）,5999.00,8G,14.0英寸,2.23kg
联想（Lenovo）,5999.00,8G,15.6英寸,2.5kg
联想（Lenovo）,8499.00,8G,15.6英寸,4.1kg
Apple,21988.00,16G,15.4英寸,3.3kg
Apple,11786.00,8G,13.3英寸,2.635kg
小米（MI）,4499.00,8G,15.6英寸,3.4kg
Apple,11786.00,8G,13.3英寸,2.64kg
ThinkPad,3299.00,4G,14.0英寸,2.645kg
小米（MI）,4299.00,8G,13.3英寸,2.45kg
戴尔（DELL）,4599.00,8G,13.3英寸,2.12kg
小米（MI）,4999.00,8G,15.6英寸,3.4kg
联想（Lenovo）,4599.00,8G,14.0英寸,2.2kg
小米（MI）,8999.00,8G,15.6英寸,5.23kg
惠普（HP）,8199.00,8G,15.6英寸,4.06kg
惠普（HP）,9999.00,16G,15.6英寸,4.06kg
戴尔（DELL）,6599.00,8G,15.6英寸,2.9kg
华硕（ASUS）,4798.00,8G,13.3英寸,2.375kg
惠普（HP）,7599.00,8G,15.6英寸,3.66kg
华为（HUAWEI）,4599.00,8G,14.0英寸,2.4kg
联想（Lenovo）,10999.00,16G,15.6英寸,4.1kg
微软（Microsoft）,8988.00,其它,其它,1.655kg
小米（MI）,5399.00,8G,13.3英寸,2.43kg
惠普（HP）,7199.00,8G,15.6英寸,3.72kg
联想（Lenovo）,6599.00,8G,13.3英寸,2.05kg
Apple,15788.00,8G,13.3英寸,2.58kg
微软（Microsoft）,6388.00,其它,其它,1.69kg
华为（HUAWEI）,6488.00,16G,15.6英寸,2.71kg
联想（Lenovo）,5499.00,8G,13.3英寸,2.04kg
Apple,18688.00,16G,15.4英寸,3.31kg
小米（MI）,5999.00,8G,15.6英寸,3.36kg
华硕（ASUS）,6699.00,8G,15.6英寸,3.62kg
ThinkPad,6999.00,8G,14.0英寸,2.69kg
联想（Lenovo）,5699.00,8G,13.3英寸,1.85kg
ThinkPad,5199.00,8G,14.0英寸,2.67kg
ThinkPad,4599.00,8G,14.0英寸,2.68kg
戴尔（DELL）,3599.00,4G,15.6英寸,3.115kg
机械革命（MECHREVO）,5398.00,8G,14.0英寸,2.18kg
联想（Lenovo）,7499.00,8G,15.6英寸,3.95kg
机械革命（MECHREVO）,9398.00,8G,17.3英寸,5.17kg
小米（MI）,7299.00,16G,15.6英寸,3.32kg
微软（Microsoft）,8988.00,其它,其它,1.63kg
联想（Lenovo）,5499.00,8G,14.0英寸,2.23kg
华硕（ASUS）,4799.00,8G,13.3英寸,2.385kg
联想（Lenovo）,4999.00,8G,14.0英寸,2.24kg
惠普（HP）,4999.00,8G,13.3英寸,1.94kg
惠普（HP）,9899.00,16G,15.6英寸,4.03kg
华硕（ASUS）,4399.00,8G,15.6英寸,2.1kg
戴尔（DELL）,3499.00,4G,14.0英寸,2.745kg
华硕（ASUS）,4599.00,8G,15.6英寸,2.52kg
ThinkPad,3999.00,8G,14.0英寸,2.68kg
华为（HUAWEI）,3999.00,8G,14.0英寸,2.41kg
戴尔（DELL）,7499.00,8G,15.6英寸,3.8kg
华硕（ASUS）,8999.00,8G,15.6英寸,3.78kg
ThinkPad,5299.00,8G,14.0英寸,2.6kg
Apple,21988.00,16G,其它,3.28kg
小米（MI）,6699.00,8G,15.6英寸,5.06kg
雷神（ThundeRobot）,6588.00,8G,15.6英寸,4.12kg
戴尔（DELL）,6699.00,8G,15.6英寸,4.02kg
微软（Microsoft）,7688.00,其它,其它,1.65kg
宏碁（acer）,5699.00,8G,15.6英寸,3.785kg
联想（Lenovo）,5599.00,8G,14.0英寸,2.14kg
惠普（HP）,11499.00,16G,15.6英寸,4.05kg
小米（MI）,7288.00,8G,15.6英寸,5.05kg
小米（MI）,4599.00,8G,15.6英寸,3.43kg
三星（SAMSUNG）,3989.00,8G,15.6英寸,2.7kg
ThinkPad,8499.00,16G,14.0英寸,2.72kg
小米（MI）,5399.00,8G,13.3英寸,2.46kg
联想（Lenovo）,8999.00,8G,15.6英寸,4.0kg
华硕（ASUS）,5699.00,8G,15.6英寸,2.5kg
惠普（HP）,5299.00,8G,13.3英寸,2.185kg
机械革命（MECHREVO）,7998.00,8G,17.3英寸,5.16kg
戴尔（DELL）,4798.00,8G,14.0英寸,2.19kg
Apple,10200.00,8G,13.3英寸,2.64kg
